Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Media de la renta por unidad de consumo;2015;14.386
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Mediana de la renta por unidad de consumo;2023;16.450
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Mediana de la renta por unidad de consumo;2022;15.050
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Mediana de la renta por unidad de consumo;2021;15.750
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Mediana de la renta por unidad de consumo;2020;15.050
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Mediana de la renta por unidad de consumo;2019;15.050
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Mediana de la renta por unidad de consumo;2018;14.350
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Mediana de la renta por unidad de consumo;2017;13.650
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Mediana de la renta por unidad de consumo;2016;12.950
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Mediana de la renta por unidad de consumo;2015;12.950
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Renta bruta media por persona;2023;19.293
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Renta bruta media por persona;2022;16.401
